TimeSinceCollection,Timestamp,AngularVelX,AngularVelY,AngularVelZ,AngleRoll,AnglePitch,AngleYaw,AccX,AccY,AccZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
510,1107658,-0.0610352,0.12207,-1.64795,-86.9733,-4.71313,-162.916,0.0717773,-9.58467,1.43555,-0.0796509,0.131622,-0.675507,0.721039,-106.825,83.2583,-9.89167,-7325,-28864
516,1107664,-0.244141,0.0610352,-1.89209,-86.9623,-4.70764,-162.79,0.0334961,-9.59424,1.39727,-0.0804749,0.132294,-0.675323,0.721008,-106.825,83.2667,-9.93333,-7325,-28864
522,1107670,-1.09863,-0.12207,-2.38037,-86.9568,-4.69666,-162.548,0.0813477,-9.64688,1.33984,-0.0812683,0.132996,-0.675171,0.720947,-106.842,83.2667,-10.0417,-7325,-28864
528,1107676,-0.976563,-0.244141,-2.44141,-86.9513,-4.69116,-162.422,0.172266,-9.77129,1.3207,-0.0828857,0.134369,-0.674835,0.720795,-106.867,83.275,-10.1167,-7325,-28864
534,1107682,-1.70898,-0.305176,-2.92969,-86.9513,-4.69116,-162.301,0.449805,-10.0823,1.22021,-0.0836487,0.135101,-0.674713,0.720703,-106.892,83.2667,-10.1583,-7325,-28864
540,1107688,-1.52588,0.12207,-2.13623,-86.9513,-4.68567,-162.18,0.282324,-10.1015,1.04795,-0.0844421,0.135773,-0.674561,0.720612,-106.9,83.25,-10.175,-7325,-28864
546,1107694,-0.915527,0.488281,-1.34277,-86.9458,-4.67468,-162.059,0.248828,-10.1206,1.04795,-0.0852661,0.136383,-0.674408,0.720551,-106.9,83.2333,-10.175,-7325,-28864
552,1107700,0.854492,0.549316,-0.549316,-86.9238,-4.65271,-161.823,0.210547,-9.97227,1.17236,-0.0860901,0.137024,-0.674225,0.72049,-106.9,83.1917,-10.1083,-7325,-28864
558,1107706,0.854492,-0.183105,0,-86.9128,-4.63623,-161.702,0.693848,-10.4795,0.957031,-0.0877991,0.138245,-0.673798,0.720459,-106.883,83.1833,-10.1167,-7325,-28864
564,1107712,1.77002,1.34277,1.58691,-86.8964,-4.61426,-161.587,0.196191,-10.3694,0.913965,-0.0886536,0.138763,-0.673584,0.720459,-106.892,83.1667,-10.1,-7325,-28864
570,1107718,3.35693,1.77002,2.2583,-86.8689,-4.58679,-161.477,0.133984,-9.92441,1.18672,-0.0895691,0.139221,-0.67334,0.72049,-106.883,83.1583,-10.0667,-7325,-28864
576,1107724,4.45557,1.09863,2.80762,-86.8414,-4.55933,-161.362,-0.0526367,-9.57031,1.47861,-0.0904846,0.139709,-0.673035,0.720551,-106.883,83.1333,-10.0417,-7325,-28864
582,1107730,3.05176,1.09863,1.95313,-86.7865,-4.50989,-161.136,0.0526367,-9.54639,1.51211,-0.0913696,0.140167,-0.67276,0.720612,-106.933,83.125,-10.0917,-7317,-28865
588,1107736,2.31934,1.15967,2.01416,-86.7645,-4.48242,-161.027,0.133984,-9.56553,1.43555,-0.0931702,0.141174,-0.672272,0.720673,-106.942,83.1167,-10.125,-7317,-28865
594,1107742,1.89209,0.915527,2.0752,-86.748,-4.46045,-160.911,0.0430664,-9.69951,1.41162,-0.0940552,0.141663,-0.672028,0.720673,-106.95,83.1333,-10.2083,-7317,-28865
600,1107748,1.34277,1.09863,1.46484,-86.7316,-4.43848,-160.796,-0.0478516,-9.72344,1.20586,-0.0949097,0.142181,-0.671814,0.720642,-106.958,83.1333,-10.2833,-7317,-28865
606,1107754,1.52588,1.09863,1.34277,-86.7151,-4.4165,-160.686,-0.0430664,-9.78564,1.28242,-0.0957642,0.14267,-0.6716,0.720612,-106.975,83.1167,-10.3083,-7317,-28865
612,1107760,1.95313,0.488281,0.854492,-86.6821,-4.37805,-160.455,0.062207,-9.73301,1.28242,-0.0966187,0.143219,-0.671387,0.720612,-107.042,83.125,-10.375,-7317,-28865
618,1107766,2.01416,0.427246,0.671387,-86.6656,-4.35608,-160.34,0.0334961,-9.7043,1.32549,-0.0983276,0.144287,-0.670929,0.720612,-107.075,83.125,-10.3917,-7317,-28865
624,1107772,1.89209,0.488281,0.366211,-86.6437,-4.3396,-160.23,0.0669922,-9.73779,1.3207,-0.0991516,0.144836,-0.670685,0.720612,-107.108,83.15,-10.425,-7317,-28865
630,1107778,1.64795,0.366211,0.366211,-86.6272,-4.32312,-160.115,0.062207,-9.73301,1.31113,-0.100006,0.145386,-0.670471,0.720581,-107.125,83.1667,-10.45,-7317,-28865
636,1107784,1.77002,0.366211,0.12207,-86.6107,-4.31213,-159.999,0.090918,-9.75215,1.3207,-0.10083,0.145935,-0.670227,0.720581,-107.133,83.1583,-10.45,-7317,-28865
642,1107790,1.95313,0.183105,-0.0610352,-86.5778,-4.27917,-159.774,0.124414,-9.73301,1.33984,-0.101654,0.146484,-0.669983,0.720551,-107.142,83.175,-10.4083,-7317,-28865
648,1107796,1.64795,0.244141,0.0610352,-86.5613,-4.2627,-159.659,0.0861328,-9.82393,1.3207,-0.103302,0.147614,-0.669525,0.72052,-107.15,83.1833,-10.3833,-7317,-28865
654,1107802,1.58691,0.244141,-0.0610352,-86.5448,-4.25171,-159.549,0.0861328,-9.86699,1.22979,-0.104095,0.148163,-0.669281,0.72052,-107.158,83.1917,-10.3583,-7317,-28865
660,1107808,1.95313,0.12207,0.12207,-86.5283,-4.23523,-159.434,0.119629,-9.87656,1.29678,-0.104919,0.148712,-0.669067,0.72049,-107.167,83.225,-10.3583,-7317,-28865
666,1107814,2.44141,0.183105,0,-86.5063,-4.21875,-159.318,0.129199,-9.77607,1.3877,-0.105743,0.149261,-0.668793,0.72049,-107.175,83.2417,-10.375,-7317,-28865
672,1107820,2.0752,0.12207,0.183105,-86.4679,-4.19128,-159.093,0.15791,-9.72344,1.41162,-0.106567,0.149811,-0.668549,0.72052,-107.167,83.2917,-10.4333,-7317,-28865
678,1107826,2.19727,0.488281,0.0610352,-86.4459,-4.1748,-158.983,0.0765625,-9.72344,1.36377,-0.108185,0.150909,-0.66806,0.72049,-107.167,83.2917,-10.425,-7317,-28865
684,1107832,2.38037,0.427246,0.366211,-86.4294,-4.16382,-158.873,0.14834,-9.65645,1.47861,-0.109009,0.151428,-0.667816,0.72049,-107.15,83.2917,-10.4167,-7317,-28865
690,1107838,2.19727,0.12207,0.183105,-86.4075,-4.14734,-158.763,0.172266,-9.58945,1.54561,-0.109833,0.151978,-0.667542,0.72049,-107.15,83.2917,-10.4083,-7317,-28865
696,1107844,1.77002,0.305176,0.305176,-86.391,-4.13086,-158.654,0.114844,-9.5751,1.4834,-0.110626,0.152496,-0.667328,0.720459,-107.125,83.2917,-10.4,-7317,-28865
702,1107850,1.0376,0.488281,0,-86.3635,-4.10339,-158.434,0.0574219,-9.65645,1.40684,-0.11142,0.153015,-0.667114,0.720428,-107.1,83.2833,-10.4,-7317,-28865
708,1107856,0.793457,0,0.12207,-86.347,-4.08691,-158.324,0.062207,-9.49854,1.56953,-0.113007,0.154083,-0.666687,0.720337,-107.083,83.2833,-10.425,-7317,-28865
714,1107862,0.854492,0.366211,-0.244141,-86.3361,-4.07593,-158.22,0.0574219,-9.40283,1.55039,-0.1138,0.154633,-0.666473,0.720306,-107.067,83.275,-10.4583,-7325,-28864
720,1107868,-0.12207,0.183105,-0.366211,-86.3251,-4.05945,-158.11,0.124414,-9.58945,1.50732,-0.114563,0.155182,-0.66629,0.720245,-107.05,83.2833,-10.4667,-7325,-28864
726,1107874,-0.854492,0.488281,-0.549316,-86.3196,-4.04846,-158,0.181836,-9.88613,1.32549,-0.115295,0.155731,-0.666138,0.720154,-107.05,83.2833,-10.4833,-7325,-28864
732,1107880,-0.671387,0.366211,-0.0610352,-86.3141,-4.02649,-157.786,0.339746,-10.1732,1.14844,-0.116791,0.156799,-0.665802,0.719971,-107.092,83.2917,-10.425,-7325,-28864
738,1107886,0.366211,0.732422,0.610352,-86.3031,-4.01001,-157.681,0.239258,-10.2689,1.04795,-0.117584,0.157318,-0.665619,0.71991,-107.117,83.3,-10.4167,-7325,-28864
744,1107892,1.2207,0.671387,1.34277,-86.2866,-3.98804,-157.577,0.186621,-10.2307,1.02402,-0.118378,0.157776,-0.665405,0.719879,-107.133,83.3167,-10.4083,-7325,-28864
750,1107898,2.01416,1.34277,1.46484,-86.2701,-3.97156,-157.473,0.397168,-10.5848,0.92832,-0.119171,0.158234,-0.665192,0.719849,-107.133,83.3417,-10.4083,-7325,-28864
756,1107904,2.86865,0.488281,2.19727,-86.2482,-3.94409,-157.368,0.789551,-11.0537,0.655566,-0.119995,0.158661,-0.664917,0.719849,-107.133,83.3667,-10.4417,-7325,-28864
762,1107910,7.8125,2.44141,5.12695,-86.1658,-3.87817,-157.17,0.440234,-11.0585,0.45459,-0.121765,0.159302,-0.664246,0.720032,-107.108,83.4167,-10.5,-7325,-28864
768,1107916,10.6812,2.0752,5.92041,-86.1053,-3.83423,-157.072,0.186621,-10.3359,1.1293,-0.122711,0.159546,-0.663818,0.720245,-107.1,83.4083,-10.5417,-7325,-28864
774,1107922,12.0239,2.13623,6.7749,-86.0394,-3.79028,-156.973,0.0334961,-9.93877,1.41641,-0.123657,0.15979,-0.66333,0.720459,-107.092,83.4167,-10.5833,-7325,-28864
780,1107928,12.8784,2.44141,6.22559,-85.968,-3.75183,-156.879,0.244043,-9.97227,1.62695,-0.124634,0.160004,-0.662811,0.720734,-107.092,83.4333,-10.625,-7325,-28864
786,1107934,12.0239,1.70898,6.83594,-85.9021,-3.70239,-156.78,0.14834,-9.63731,1.52646,-0.12561,0.160217,-0.662292,0.720978,-107.092,83.45,-10.6667,-7325,-28864
