TimeSinceCollection,Timestamp,AngularVelX,AngularVelY,AngularVelZ,AngleRoll,AnglePitch,AngleYaw,AccX,AccY,AccZ,Q1,Q2,Q3,Q4,MagX,MagY,MagZ,Height,Airpressure
714,453307,-1.46484,-1.40381,0.183105,-81.1121,-20.8466,-142.306,3.5458,-9.07266,1.41162,0.13028,-0.336823,0.560577,-0.745117,-123.383,50.0667,-68.2583,-10305,-28503
720,453313,-1.28174,-1.46484,-0.183105,-81.1176,-20.8521,-142.344,3.5793,-9.09658,1.44033,0.130005,-0.336639,0.56076,-0.745117,-123.367,50.075,-68.2583,-10305,-28503
726,453319,-1.46484,-1.34277,0,-81.1285,-20.8521,-142.383,3.59365,-9.13486,1.43076,0.1297,-0.336487,0.560913,-0.745117,-123.358,50.0833,-68.225,-10305,-28503
732,453325,-1.34277,-1.09863,0.12207,-81.134,-20.8521,-142.421,3.59844,-9.09658,1.44033,0.129425,-0.336334,0.561066,-0.745117,-123.35,50.0917,-68.2083,-10305,-28503
738,453331,-1.2207,-1.09863,0,-81.1505,-20.8575,-142.498,3.59365,-9.08701,1.46426,0.128876,-0.335999,0.561371,-0.745148,-123.342,50.1,-68.25,-10305,-28503
744,453337,-1.46484,-1.15967,-0.183105,-81.1615,-20.863,-142.537,3.58408,-9.10137,1.4499,0.128571,-0.335815,0.561523,-0.745148,-123.358,50.1583,-68.3167,-10305,-28503
750,453343,-1.64795,-1.15967,0.0610352,-81.167,-20.863,-142.575,3.56973,-9.09658,1.46904,0.128296,-0.335663,0.561707,-0.745148,-123.392,50.1917,-68.3167,-10305,-28503
756,453349,-1.77002,-0.854492,0.244141,-81.178,-20.863,-142.614,3.60322,-9.06787,1.46426,0.127991,-0.33551,0.561859,-0.745148,-123.4,50.1917,-68.2917,-10305,-28503
762,453355,-2.01416,-1.0376,0.0610352,-81.189,-20.8685,-142.652,3.62236,-9.08223,1.42119,0.127716,-0.335327,0.562042,-0.745148,-123.408,50.1917,-68.225,-10305,-28503
768,453361,-1.89209,-1.34277,0.427246,-81.2109,-20.8685,-142.723,3.65586,-9.07266,1.34463,0.127136,-0.334991,0.562408,-0.745117,-123.433,50.2167,-68.175,-10305,-28503
774,453367,-2.13623,-0.976563,0.671387,-81.2219,-20.8685,-142.762,3.64629,-9.0918,1.33027,0.126862,-0.334808,0.562561,-0.745117,-123.458,50.2417,-68.1583,-10305,-28503
780,453373,-2.01416,-0.793457,0.671387,-81.2329,-20.863,-142.8,3.58887,-9.08701,1.3877,0.126587,-0.334656,0.562775,-0.745087,-123.467,50.25,-68.15,-10305,-28503
786,453379,-2.01416,-0.671387,0.793457,-81.2439,-20.863,-142.839,3.56016,-9.08701,1.43076,0.126312,-0.334442,0.562958,-0.745087,-123.492,50.2667,-68.1167,-10305,-28503
792,453385,-2.2583,-0.976563,0.976563,-81.2604,-20.863,-142.877,3.5793,-9.08223,1.42119,0.126038,-0.334259,0.563141,-0.745087,-123.5,50.2583,-68.1167,-10305,-28503
798,453391,-2.74658,-1.15967,1.34277,-81.2878,-20.8521,-142.949,3.66543,-9.0583,1.34941,0.125519,-0.333923,0.563538,-0.745026,-123.5,50.2333,-68.1083,-10305,-28503
804,453397,-3.05176,-0.915527,1.15967,-81.3043,-20.8521,-142.987,3.60801,-9.08223,1.40684,0.125275,-0.33374,0.563751,-0.744965,-123.5,50.1917,-68.1417,-10305,-28503
